question,topic,intent,difficulty,answer
I want to learn about disjoint set,Data Structures,disjoint set,Advanced,"Union-Find data structure for tracking disjoint sets. Operations: union (merge sets), find (get set representative). Nearly O(1) with path compression."
Tell me about red-black tree,Data Structures,red-black tree,Intermediate,Self-balancing BST with colored nodes. Less strictly balanced than AVL but faster insertions/deletions.
Explain Lambda,Cloud Computing,Lambda,Intermediate,AWS serverless compute. Run code without managing servers. Pay per request. Auto-scales. Good for event-driven applications.
I want to learn about DQN,Reinforcement Learning,DQN,Intermediate,Deep Q-Network combines Q-learning with neural networks. Experience replay stabilizes training. Target network improves stability. Played Atari games.
I want to learn about SVM,Machine Learning,SVM,Intermediate,Support Vector Machine finds hyperplane that maximally separates classes. Kernel trick enables non-linear boundaries. Effective in high dimensions.
Can you describe security testing?,Software Testing,security testing,Intermediate,"Finding vulnerabilities. Penetration testing, code review. OWASP Top 10 vulnerabilities. Tools: Burp Suite, OWASP ZAP."
How does dictionary methods work?,Python Basics,dictionary methods,Beginner,"Dictionaries have methods: keys(), values(), items(), get(), update(), pop(), clear(). items() returns key-value pairs."
Why do we use gradient?,Mathematics for AI,gradient,Beginner,Vector of partial derivatives. Points in direction of steepest increase. Negative gradient used in optimization.
Tell me about backpropagation,Deep Learning,backpropagation,Beginner,Algorithm for computing gradients of loss with respect to weights. Uses chain rule backwards through network. Enables gradient descent training.
How does push work?,Git & Version Control,push,Intermediate,Sending local commits to remote. git push. Updates remote repository. Requires permissions.
What is staticmethod?,Python Programming,staticmethod,Intermediate,"A method that doesn't receive implicit first argument (self or cls). Defined with @staticmethod. Belongs to class, not instances."
What exactly is module?,Python Basics,module,Beginner,A Python file containing definitions and statements. Import using 'import module_name'. Helps organize large programs.
Can you explain string formatting?,Python Basics,string formatting,Beginner,"Format strings using f-strings: f'Hello {name}', format(): 'Hello {}'.format(name), or % operator: 'Hello %s' % name."
Explain how regularization works,Machine Learning,regularization,Intermediate,Technique to prevent overfitting by penalizing complex models. L1 (Lasso) encourages sparsity. L2 (Ridge) shrinks coefficients. Controls model complexity.
Define arithmetic operators,Python Basics,arithmetic operators,Beginner,"Math operations: + (add), - (subtract), * (multiply), / (divide), // (floor division), % (modulus), ** (exponent)."
Help me understand gitignore,Git & Version Control,gitignore,Intermediate,".gitignore file specifies untracked files to ignore. Excludes build artifacts, secrets, dependencies. Patterns support wildcards."
Could you tell me about blue-green deployment?,DevOps,blue-green deployment,Intermediate,"Running two identical environments. Blue is live, green is new version. Switch traffic to green. Easy rollback to blue."
I want to learn about conflict,Git & Version Control,conflict,Intermediate,"Occurs when same lines modified differently. Must be resolved manually. Git marks conflicting sections. Edit, add, commit to resolve."
What is adjacency matrix?,Data Structures,adjacency matrix,Intermediate,2D array representing graph. Cell [i][j] = 1 if edge exists. Space: O(V²). Good for dense graphs.
Why do we use if statement?,Python Basics,if statement,Beginner,Conditional statement that executes code based on whether a condition is True or False. Syntax: if condition: # code block. Can include elif and else clauses.
Why should I learn decorator?,Python Programming,decorator,Intermediate,"A function that modifies the behavior of another function. Uses @decorator_name syntax. Common uses: logging, timing, authentication."
Tell me about configuration management,DevOps,configuration management,Intermediate,"Automating server configuration. Ensures consistency. Tools: Ansible, Puppet, Chef. Uses playbooks or recipes."
Tell me about dimensionality reduction,Machine Learning,dimensionality reduction,Intermediate,"Reducing feature count while preserving information. Methods: PCA (linear), t-SNE (non-linear), autoencoders. Benefits: faster training, visualization."
Tell me about bloom filter,Data Structures,bloom filter,Advanced,Probabilistic data structure for membership testing. Can have false positives but no false negatives. Very space-efficient.
Help me understand recall,Machine Learning,recall,Beginner,"Of actual positives, how many were predicted. TP / (TP + FN). Important when false negatives are costly. Also called sensitivity."
What's the purpose of multi-task learning?,Deep Learning,multi-task learning,Advanced,"Training single model on multiple related tasks. Shared representations improve generalization. Tasks share some layers, have task-specific layers."
I want to learn about JavaScript,Web Development,JavaScript,Intermediate,"Programming language that adds interactivity to web pages. Runs in browser. Manipulates DOM, handles events, makes API calls. Core of modern web."
Tell me about firewall,Cybersecurity,firewall,Intermediate,"Network security system filtering traffic. Rules based on IP, port, protocol. Can be hardware or software. First line of defense."
Explain status codes,API Design,status codes,Intermediate,"HTTP response codes. 2xx (success), 3xx (redirect), 4xx (client error), 5xx (server error). 200 OK, 404 Not Found, 500 Internal Server Error."
Define image augmentation,Computer Vision,image augmentation,Intermediate,"Artificially creating training images via transformations. Techniques: rotation, flipping, cropping, color shifts. Improves generalization."
What does operating system mean?,Operating Systems,operating system,Intermediate,"Software managing hardware and providing services to applications. Functions: process management, memory management, file system, I/O management."
I want to learn about heap sort,Algorithms,heap sort,Intermediate,"Uses heap data structure to sort. Build max heap, repeatedly extract maximum. O(n log n) time. Not stable."
Help me understand sentiment analysis,Natural Language Processing,sentiment analysis,Intermediate,"Determining emotional tone of text. Classification task: positive, negative, neutral. Used in social media monitoring, customer feedback."
I want to learn about AJAX,Web Development,AJAX,Intermediate,Asynchronous JavaScript And XML enables updating pages without reload. Uses XMLHttpRequest or Fetch API. Improves user experience.
Describe SQL,Database Systems,SQL,Intermediate,"Structured Query Language for managing relational databases. Operations: SELECT (read), INSERT (create), UPDATE (modify), DELETE (remove)."
Tell me about interpretability,Machine Learning,interpretability,Advanced,"Understanding why model makes predictions. Methods: SHAP values, LIME, feature importance, partial dependence plots. Important for trust and debugging."
Explain how binary tree works,Data Structures,binary tree,Intermediate,Hierarchical structure where each node has at most two children: left and right. Root is the topmost node.
Explain property,Python Programming,property,Intermediate,A decorator that allows methods to be accessed like attributes. Provides controlled access to class attributes.
I want to learn about data augmentation,Deep Learning,data augmentation,Intermediate,"Artificially increasing dataset size by applying transformations: rotation, flip, crop, color jitter. Improves generalization, reduces overfitting."
Can you explain what YOLO is?,Computer Vision,YOLO,Intermediate,You Only Look Once is real-time object detection. Single neural network predicts bounding boxes and classes. Fast: 45+ FPS.
Can you explain what feature selection is?,Machine Learning,feature selection,Intermediate,"Choosing relevant features and removing irrelevant ones. Methods: filter (statistical tests), wrapper (model performance), embedded (L1 regularization)."
gitignore definition,Git & Version Control,gitignore,Intermediate,".gitignore file specifies untracked files to ignore. Excludes build artifacts, secrets, dependencies. Patterns support wildcards."
Why do we use machine learning?,Machine Learning,machine learning,Beginner,"A subset of AI where systems learn from data without explicit programming. Algorithms improve performance through experience. Three main types: supervised, unsupervised, reinforcement."
Show me how to use counting sort,Algorithms,counting sort,Intermediate,Non-comparison sort for integers in limited range. Counts occurrences of each value. O(n+k) time where k is range.
Define push,Git & Version Control,push,Intermediate,Sending local commits to remote. git push. Updates remote repository. Requires permissions.
Help me understand query optimization,Performance Optimization,query optimization,Advanced,Improving database query performance. Analyze execution plans. Avoid N+1 queries. Use JOINs efficiently. Limit results.
Explain neural ODE to me,Deep Learning,neural ODE,Advanced,Neural Ordinary Differential Equations model continuous transformations. Layers are ODE solvers. Memory-efficient training. Used in irregular time series.
I want to learn about adjacency list,Data Structures,adjacency list,Intermediate,Array of lists representing graph. Each vertex has a list of adjacent vertices. Space: O(V+E). Good for sparse graphs.
conditional probability definition,Mathematics for AI,conditional probability,Beginner,Probability of event given another event occurred. P(A|B) = P(A∩B) / P(B). Used in Bayesian methods.
Explain canary deployment,DevOps,canary deployment,Intermediate,"Gradually rolling out changes to subset of users. Monitor for issues. If successful, roll out to all. Reduces risk."
Why do we use method overloading?,Object-Oriented Programming,method overloading,Intermediate,Multiple methods with same name but different parameters. Compile-time polymorphism. Based on number/type of arguments.
Explain lambda function,Python Basics,lambda function,Beginner,"An anonymous, one-line function created with the lambda keyword. Syntax: lambda args: expression. Often used with map(), filter(), sorted()."
I want to learn about anomaly detection,Machine Learning,anomaly detection,Advanced,"Identifying unusual patterns. Methods: One-Class SVM, Isolation Forest, Autoencoders. Used in fraud detection, system health monitoring."
Explain doubly linked list to me,Data Structures,doubly linked list,Beginner,Each node has pointers to both next and previous nodes. Allows bidirectional traversal. More memory than singly linked.
Can you explain what scheduling is?,Operating Systems,scheduling,Intermediate,"Deciding which process runs on CPU. Algorithms: FCFS (First Come First Serve), SJF (Shortest Job First), Round Robin, Priority."
Explain training data,Machine Learning,training data,Beginner,Dataset used to teach the model. Contains features (inputs) and labels (outputs for supervised learning). Quality impacts model performance.
What's the purpose of object?,Object-Oriented Programming,object,Intermediate,Instance of a class. Has state (attribute values) and behavior (methods). Multiple objects from one class.
Explain how load balancer works,Cloud Computing,load balancer,Intermediate,"Distributes traffic across multiple servers. Improves availability and reliability. Types: application (Layer 7), network (Layer 4)."
Show me how to use Lambda,Cloud Computing,Lambda,Intermediate,AWS serverless compute. Run code without managing servers. Pay per request. Auto-scales. Good for event-driven applications.
How would you explain polymorphism?,Python Basics,polymorphism,Beginner,The ability of different classes to be used interchangeably through a common interface. Often achieved through method overriding.
What's the purpose of variable?,Python Basics,variable,Beginner,"A variable in Python is a named storage location that holds a value. Python is dynamically typed, so you don't need to declare the variable type. Example: x = 5 creates an integer variable named x."
Explain merge,Git & Version Control,merge,Intermediate,Combining branches. Integrates changes from one branch into another. Can cause merge conflicts if same lines changed.
test coverage definition,Software Testing,test coverage,Intermediate,"Percentage of code executed by tests. High coverage doesn't guarantee quality. Types: line coverage, branch coverage."
Help me understand class,Python Basics,class,Beginner,A blueprint for creating objects. Defined with the 'class' keyword. Contains attributes (data) and methods (functions).
What does file system mean?,Operating Systems,file system,Intermediate,"Organizes and stores files. Hierarchical structure. Operations: create, read, write, delete. Examples: NTFS, ext4, FAT32."
Show me how to use underfitting,Machine Learning,underfitting,Beginner,When model is too simple to capture data patterns. Poor performance on both training and test data. High bias.
Explain SSL/TLS,Cybersecurity,SSL/TLS,Intermediate,Secure Sockets Layer / Transport Layer Security encrypt web traffic. HTTPS uses TLS. Certificate authority validates identity. Prevents eavesdropping.
I want to learn about circular import,Python Programming,circular import,Advanced,"When two modules import each other. Can cause ImportError. Solutions: restructure code, use local imports, or import at runtime."
Dijkstra definition,Algorithms,Dijkstra,Intermediate,Finds shortest path from source to all vertices in weighted graph with non-negative edges. Uses priority queue. O((V+E) log V) time.
Give me information on Node.js,Web Development,Node.js,Intermediate,"JavaScript runtime for server-side development. Asynchronous, event-driven. Uses V8 engine. NPM package manager. Enables full-stack JS."
Why is activation function important?,Deep Learning,activation function,Beginner,"Introduces non-linearity. Common: ReLU (most popular), sigmoid (0 to 1), tanh (-1 to 1), softmax (multi-class). Enables learning complex patterns."
Why do we use index?,Database Systems,index,Intermediate,"Data structure improving query speed. Trade-off: faster reads, slower writes. B-tree index is common. Index commonly queried columns."
reinforcement learning definition,Reinforcement Learning,reinforcement learning,Intermediate,"Learning by trial and error through environment interaction. Agent takes actions, receives rewards. Goal: maximize cumulative reward."
How can I use skip list?,Data Structures,skip list,Advanced,"Probabilistic data structure with multiple layers. Allows O(log n) search, insert, delete. Simpler than balanced trees."
Help me understand model deployment,Machine Learning,model deployment,Advanced,"Putting trained model into production. Considerations: serving infrastructure, monitoring, versioning, A/B testing, retraining strategy."
How do you implement DevOps?,DevOps,DevOps,Intermediate,"Culture combining development and operations. Automates deployment, monitoring. Principles: collaboration, automation, continuous improvement. Speeds delivery."
What should I know about context manager?,Python Programming,context manager,Intermediate,Objects that define __enter__ and __exit__ methods for resource management. Used with 'with' statement.
Help me understand YOLO,Computer Vision,YOLO,Intermediate,You Only Look Once is real-time object detection. Single neural network predicts bounding boxes and classes. Fast: 45+ FPS.
I want to learn about merge sort,Algorithms,merge sort,Intermediate,"Divide-and-conquer sorting. Divides array in half, recursively sorts, then merges. O(n log n) time. Stable sort."
What's the purpose of unit testing?,Software Engineering,unit testing,Intermediate,"Testing individual components in isolation. Automated tests written by developers. Fast feedback. Frameworks: JUnit, pytest, Jest."
How do you implement class?,Object-Oriented Programming,class,Intermediate,Blueprint for creating objects. Defines attributes and methods. Template for object structure and behavior.
Help me understand monitoring,DevOps,monitoring,Intermediate,"Observing system health and performance. Metrics, logs, traces. Alerts on issues. Tools: Prometheus, Grafana, DataDog, New Relic."
Help me understand EC2,Cloud Computing,EC2,Intermediate,"Elastic Compute Cloud provides virtual servers. Choose instance type (CPU, memory, GPU). Scalable. Pay for what you use."
object detection definition,Computer Vision,object detection,Intermediate,"Locating and classifying objects in image. Outputs bounding boxes and labels. Algorithms: YOLO, Faster R-CNN, SSD."
Why should I learn accuracy?,Machine Learning,accuracy,Beginner,Percentage of correct predictions. (TP + TN) / Total. Simple metric but can be misleading for imbalanced datasets.
What should I know about continuous integration?,Software Engineering,continuous integration,Intermediate,"Automatically building and testing code on every commit. Detects integration issues early. Tools: Jenkins, GitHub Actions, CircleCI."
mocking definition,Software Testing,mocking,Intermediate,"Creating fake objects for testing. Isolates code under test. Frameworks: Mockito (Java), unittest.mock (Python), Jest (JavaScript)."
Could you explain feature extraction to me?,Computer Vision,feature extraction,Intermediate,"Identifying distinctive patterns in images. Classical: SIFT, SURF. Deep learning: CNN feature maps."
Help me understand VAE,Deep Learning,VAE,Advanced,Variational Autoencoder learns probabilistic latent representation. Samples from learned distribution. Used for generating new data similar to training data.
Help me understand regularization,Machine Learning,regularization,Intermediate,Technique to prevent overfitting by penalizing complex models. L1 (Lasso) encourages sparsity. L2 (Ridge) shrinks coefficients. Controls model complexity.
responsive design definition,Web Development,responsive design,Intermediate,"Web design that adapts to different screen sizes. Uses media queries, flexible grids, flexible images. Mobile-first approach common."
Explain DRY,Software Engineering,DRY,Intermediate,Don't Repeat Yourself principle. Avoid code duplication. Extract common functionality. Improves maintainability.
Help me understand CNN,Deep Learning,CNN,Intermediate,"Convolutional Neural Network for processing grid data (images). Convolutional layers extract features, pooling reduces dimensions, fully connected layers classify. Revolutionized computer vision."
Define enumerate,Python Basics,enumerate,Beginner,"Returns index and value when iterating. for i, item in enumerate(my_list). Start index can be specified: enumerate(my_list, start=1)."
Explain pagination,Performance Optimization,pagination,Advanced,Dividing results into pages. Prevents loading too much data. Cursor-based or offset-based. Improves response time.
I want to learn about HTML,Web Development,HTML,Intermediate,"HyperText Markup Language structures web content. Uses tags to define elements: headings, paragraphs, links, images. Foundation of web pages."
What's the purpose of for loop?,Python Basics,for loop,Beginner,"Loop that iterates over a sequence (list, tuple, string, range). Syntax: for item in sequence: # code block. Commonly used with range() function."
TF-IDF definition,Natural Language Processing,TF-IDF,Intermediate,Term Frequency-Inverse Document Frequency weighs word importance. High for frequent in document but rare in corpus. Used in information retrieval.
Help me understand quick sort,Algorithms,quick sort,Intermediate,"Divide-and-conquer sorting using pivot. Partitions array around pivot. O(n log n) average, O(n²) worst. Usually fastest in practice."
What exactly is regularization?,Machine Learning,regularization,Intermediate,Technique to prevent overfitting by penalizing complex models. L1 (Lasso) encourages sparsity. L2 (Ridge) shrinks coefficients. Controls model complexity.
decorator definition,Python Programming,decorator,Intermediate,"A function that modifies the behavior of another function. Uses @decorator_name syntax. Common uses: logging, timing, authentication."
Why is neural network important?,Deep Learning,neural network,Beginner,"Inspired by biological neurons. Consists of layers: input, hidden, output. Nodes connected by weighted edges. Learns through backpropagation."
Can you explain what AWS is?,Cloud Computing,AWS,Intermediate,"Amazon Web Services is leading cloud provider. Services: EC2 (compute), S3 (storage), RDS (databases), Lambda (serverless). Largest market share."
RNN definition,Deep Learning,RNN,Intermediate,"Recurrent Neural Network processes sequences by maintaining hidden state. Suitable for time series, text, speech. Challenges: vanishing/exploding gradients."
I want to learn about variable,Python Basics,variable,Beginner,"A variable in Python is a named storage location that holds a value. Python is dynamically typed, so you don't need to declare the variable type. Example: x = 5 creates an integer variable named x."
Why is feature scaling important?,Machine Learning,feature scaling,Advanced,"Normalizing features to similar ranges. Methods: standardization (mean=0, std=1), normalization (min-max to [0,1]). Important for distance-based algorithms."
policy definition,Reinforcement Learning,policy,Intermediate,Mapping from states to actions. Can be deterministic or stochastic. Learned through RL algorithms. Represents agent's behavior.
Tell me about reinforcement learning,Machine Learning,reinforcement learning,Beginner,"Learning by interacting with environment. Agent takes actions and receives rewards. Goal: maximize cumulative reward. Used in games, robotics."
I want to learn about heap,Data Structures,heap,Intermediate,Complete binary tree satisfying heap property. Max heap: parent ≥ children. Min heap: parent ≤ children. Used in priority queues.
Tell me about continuous integration,Software Engineering,continuous integration,Intermediate,"Automatically building and testing code on every commit. Detects integration issues early. Tools: Jenkins, GitHub Actions, CircleCI."
What is list comprehension?,Python Basics,list comprehension,Beginner,A concise way to create lists. Syntax: [expression for item in iterable if condition]. More efficient and readable than traditional loops.
function definition,Python Basics,function,Beginner,A reusable block of code defined with the 'def' keyword. Can accept parameters and return values. Helps organize code and avoid repetition.
Help me understand Scrum,Software Engineering,Scrum,Intermediate,"Agile framework with defined roles and ceremonies. Roles: Product Owner, Scrum Master, Dev Team. Ceremonies: Sprint Planning, Daily Standup, Sprint Review, Retrospective."
Explain class,Object-Oriented Programming,class,Intermediate,Blueprint for creating objects. Defines attributes and methods. Template for object structure and behavior.
Tell me about multiple inheritance,Python Programming,multiple inheritance,Intermediate,A class can inherit from multiple parent classes. Python uses Method Resolution Order (MRO) to determine method lookup.
How can I use authentication?,Web Development,authentication,Intermediate,"Verifying user identity. Methods: passwords, OAuth, JWT tokens. Session management. Important for security."
Why should I learn thread?,Operating Systems,thread,Intermediate,Lightweight process. Threads within process share memory. Concurrent execution. Context switching faster than processes.
Why is outlier detection important?,Machine Learning,outlier detection,Advanced,"Identifying anomalous data points. Methods: statistical (z-score), distance-based (KNN), clustering (DBSCAN), isolation forest. Important for data quality."
Explain Azure,Cloud Computing,Azure,Intermediate,"Microsoft's cloud platform. Strong integration with Microsoft products. Services: VMs, App Services, Cosmos DB, Azure ML."
How does online learning work?,Machine Learning,online learning,Advanced,"Model updates incrementally as new data arrives. Doesn't retrain on entire dataset. Used for streaming data. Algorithms: SGD, Perceptron."
transaction definition,Database Systems,transaction,Intermediate,"Group of database operations executed as single unit. ACID properties: Atomicity (all or nothing), Consistency (valid state), Isolation (independent), Durability (persistent)."
Provide details on SMOTE,Machine Learning,SMOTE,Advanced,Synthetic Minority Over-sampling Technique creates synthetic examples by interpolating between minority class instances. Addresses class imbalance.
I want to learn about unit testing,Software Engineering,unit testing,Intermediate,"Testing individual components in isolation. Automated tests written by developers. Fast feedback. Frameworks: JUnit, pytest, Jest."
Explain authentication,API Design,authentication,Intermediate,"Verifying API client identity. Methods: API keys, OAuth, JWT tokens. Passed in headers or query parameters."
Help me understand GRU,Deep Learning,GRU,Intermediate,"Gated Recurrent Unit is simplified LSTM with fewer parameters. Two gates: reset and update. Faster training, similar performance to LSTM."
How can I use Q-learning?,Reinforcement Learning,Q-learning,Intermediate,"Off-policy algorithm learning action-value function. Updates Q(s,a) using Bellman equation. Model-free. Works in discrete spaces."
Tell me about inheritance,Object-Oriented Programming,inheritance,Intermediate,Mechanism where class derives properties from parent class. Promotes code reuse. Establishes is-a relationship. Child class extends parent.
I need to understand boosting,Machine Learning,boosting,Intermediate,"Sequential ensemble method where each model corrects errors of previous models. Examples: AdaBoost, Gradient Boosting, XGBoost. Often wins competitions."
I want to learn about random forest,Machine Learning,random forest,Intermediate,Ensemble of decision trees. Each tree trains on random subset of data and features. Predictions are averaged (regression) or voted (classification). Reduces overfitting.
static method definition,Object-Oriented Programming,static method,Intermediate,"Belongs to class, not instances. Called on class, not object. Cannot access instance variables. Uses class name."
How do you implement XGBoost?,Machine Learning,XGBoost,Advanced,Extreme Gradient Boosting is an optimized gradient boosting library. Regularization prevents overfitting. Handles missing values. Parallel processing. Wins many ML competitions.
Give me information on memory management,Python Programming,memory management,Advanced,Python uses reference counting and garbage collection. Objects are freed when reference count reaches zero. Circular references handled by GC.
AVL tree definition,Data Structures,AVL tree,Intermediate,Self-balancing BST where height difference between left and right subtrees is at most 1. Uses rotations to maintain balance.
Help me understand Azure,Cloud Computing,Azure,Intermediate,"Microsoft's cloud platform. Strong integration with Microsoft products. Services: VMs, App Services, Cosmos DB, Azure ML."
I want to learn about string formatting,Python Basics,string formatting,Beginner,"Format strings using f-strings: f'Hello {name}', format(): 'Hello {}'.format(name), or % operator: 'Hello %s' % name."
I want to learn about XSS,Cybersecurity,XSS,Intermediate,"Cross-Site Scripting injects malicious scripts in web pages. Steals cookies, session tokens. Prevention: input validation, output encoding."
What is suffix tree?,Data Structures,suffix tree,Advanced,Compressed trie of all suffixes. Allows O(m) pattern matching where m is pattern length. Large space requirement.
What does API mean?,API Design,API,Intermediate,Application Programming Interface. Defines interactions between software. Contract for communication. Abstracts implementation details.
Explain optical flow,Computer Vision,optical flow,Intermediate,"Estimating motion of objects between frames. Used in video analysis, tracking, autonomous driving. Methods: Lucas-Kanade, Farneback."
How does AutoML work?,Machine Learning,AutoML,Advanced,"Automated Machine Learning automates model selection, hyperparameter tuning, and feature engineering. Tools: Auto-sklearn, TPOT, H2O AutoML."
class definition,Object-Oriented Programming,class,Intermediate,Blueprint for creating objects. Defines attributes and methods. Template for object structure and behavior.
Describe machine learning,Machine Learning,machine learning,Beginner,"A subset of AI where systems learn from data without explicit programming. Algorithms improve performance through experience. Three main types: supervised, unsupervised, reinforcement."
Explain push,Git & Version Control,push,Intermediate,Sending local commits to remote. git push. Updates remote repository. Requires permissions.
Tell me about segment tree,Data Structures,segment tree,Advanced,Tree for range queries. Each node represents an interval. Allows O(log n) query and update. Used for range sum/min/max queries.
How do you implement array?,Data Structures,array,Beginner,"A contiguous block of memory storing elements of the same type. Fixed size. O(1) access by index, O(n) search. Foundation for other data structures."
How would you explain refactoring?,Software Engineering,refactoring,Intermediate,"Improving code structure without changing behavior. Reduces technical debt. Examples: extract method, rename variable, simplify conditionals."
boosting definition,Machine Learning,boosting,Intermediate,"Sequential ensemble method where each model corrects errors of previous models. Examples: AdaBoost, Gradient Boosting, XGBoost. Often wins competitions."
Explain continuous integration to me,Software Engineering,continuous integration,Intermediate,"Automatically building and testing code on every commit. Detects integration issues early. Tools: Jenkins, GitHub Actions, CircleCI."
Define range function,Python Basics,range function,Beginner,"Generates sequence of numbers. range(stop), range(start, stop), range(start, stop, step). Used in for loops. Returns range object."
SQL injection definition,Cybersecurity,SQL injection,Intermediate,"Attack inserting malicious SQL in input. Can read/modify database. Prevention: parameterized queries, input validation."
What do you mean by lambda function?,Python Basics,lambda function,Beginner,"An anonymous, one-line function created with the lambda keyword. Syntax: lambda args: expression. Often used with map(), filter(), sorted()."
Tell me about learning rate,Machine Learning,learning rate,Intermediate,Hyperparameter controlling step size in gradient descent. Too large: overshoots minimum. Too small: slow convergence. Typical values: 0.001 to 0.1.
Explain topological sort,Algorithms,topological sort,Intermediate,Linear ordering of directed acyclic graph vertices. Vertex u comes before v if edge u→v exists. Uses DFS or Kahn's algorithm.
Help me understand enumerate,Python Basics,enumerate,Beginner,"Returns index and value when iterating. for i, item in enumerate(my_list). Start index can be specified: enumerate(my_list, start=1)."
Could you explain EC2 to me?,Cloud Computing,EC2,Intermediate,"Elastic Compute Cloud provides virtual servers. Choose instance type (CPU, memory, GPU). Scalable. Pay for what you use."
How does authorization work?,Cybersecurity,authorization,Intermediate,Determining what authenticated user can access. Role-based access control (RBAC). Principle of least privilege.
Help me understand method overloading,Object-Oriented Programming,method overloading,Intermediate,Multiple methods with same name but different parameters. Compile-time polymorphism. Based on number/type of arguments.
Define slots,Python Programming,slots,Advanced,Using __slots__ to declare fixed set of attributes. Saves memory and improves attribute access speed.
What's the purpose of interface?,Object-Oriented Programming,interface,Intermediate,Contract defining methods class must implement. No implementation (abstract). Class can implement multiple interfaces.
VPN definition,Cybersecurity,VPN,Intermediate,"Virtual Private Network encrypts internet connection. Creates secure tunnel. Hides IP address. Useful for remote access, privacy."
Help me understand IAM,Cloud Computing,IAM,Intermediate,"Identity and Access Management controls who can access resources. Users, groups, roles, policies. Principle of least privilege."
What are the key concepts of bayes theorem?,Mathematics for AI,bayes theorem,Beginner,P(A|B) = P(B|A)P(A) / P(B). Updates probabilities with new evidence. Foundation of Bayesian inference and naive Bayes.
Explain assertion,Software Testing,assertion,Intermediate,"Statement checking expected outcome. Test fails if assertion false. Examples: assertEqual, assertTrue, assertRaises."
How do you implement TDD?,Software Testing,TDD,Intermediate,"Test-Driven Development writes tests before code. Red-Green-Refactor cycle. Test fails, write code, test passes, refactor."
Explain abstract class,Object-Oriented Programming,abstract class,Intermediate,Cannot be instantiated. Contains abstract methods (no implementation). Child classes must implement abstract methods.
Describe dropout,Deep Learning,dropout,Intermediate,Regularization that randomly zeros neuron outputs during training. Prevents overfitting by reducing co-adaptation. Typically p=0.5. Disabled during inference.
Tell me about polymorphism,Object-Oriented Programming,polymorphism,Intermediate,"Same interface, different implementations. Types: compile-time (overloading), runtime (overriding). Enables flexibility and extensibility."
How do you implement k-means clustering?,Machine Learning,k-means clustering,Intermediate,Partitions data into k clusters by minimizing within-cluster variance. Iteratively updates centroids. Fast but sensitive to initialization and outliers.
Why is hierarchical clustering important?,Machine Learning,hierarchical clustering,Intermediate,Builds tree of clusters. Agglomerative (bottom-up) or divisive (top-down). Doesn't require k specification. Results in dendrogram.
Tell me about queue,Data Structures,queue,Beginner,"FIFO (First In First Out) data structure. Operations: enqueue (add at rear), dequeue (remove from front). Used in BFS, scheduling."
How can I use interface?,Object-Oriented Programming,interface,Intermediate,Contract defining methods class must implement. No implementation (abstract). Class can implement multiple interfaces.
Explain EC2,Cloud Computing,EC2,Intermediate,"Elastic Compute Cloud provides virtual servers. Choose instance type (CPU, memory, GPU). Scalable. Pay for what you use."
Define security testing,Software Testing,security testing,Intermediate,"Finding vulnerabilities. Penetration testing, code review. OWASP Top 10 vulnerabilities. Tools: Burp Suite, OWASP ZAP."
I want to learn about package,Python Basics,package,Beginner,A directory containing multiple modules and an __init__.py file. Organizes related modules together.
I need to understand semi-supervised learning,Machine Learning,semi-supervised learning,Advanced,"Uses both labeled and unlabeled data. Leverages large amount of unlabeled data with small labeled set. Methods: self-training, co-training, pseudo-labeling."
Can you describe image classification?,Computer Vision,image classification,Intermediate,"Assigning label to entire image. CNNs are standard approach. Applications: medical diagnosis, quality control, content moderation."
Help me understand assertion,Software Testing,assertion,Intermediate,"Statement checking expected outcome. Test fails if assertion false. Examples: assertEqual, assertTrue, assertRaises."
exception handling definition,Python Basics,exception handling,Beginner,Using try-except blocks to catch and handle errors gracefully. Prevents program crashes and allows for error recovery.
Help me understand linked list,Data Structures,linked list,Beginner,"A linear data structure where elements are nodes connected by pointers. Each node contains data and reference to next node. Dynamic size, efficient insertion/deletion."
class definition,Python Basics,class,Beginner,A blueprint for creating objects. Defined with the 'class' keyword. Contains attributes (data) and methods (functions).
Tell me about AWS,Cloud Computing,AWS,Intermediate,"Amazon Web Services is leading cloud provider. Services: EC2 (compute), S3 (storage), RDS (databases), Lambda (serverless). Largest market share."
Tell me about deadlock,Operating Systems,deadlock,Intermediate,"Processes waiting indefinitely for resources. Four conditions: mutual exclusion, hold and wait, no preemption, circular wait. Prevention or detection needed."
Provide details on load balancer,Cloud Computing,load balancer,Intermediate,"Distributes traffic across multiple servers. Improves availability and reliability. Types: application (Layer 7), network (Layer 4)."
What's the purpose of database?,Database Systems,database,Intermediate,"Organized collection of structured data. Enables efficient storage, retrieval, and management. Types: relational, NoSQL, graph."
endpoint definition,API Design,endpoint,Intermediate,URL where API can be accessed. Represents resource or action. Example: /users/123 for user with ID 123.
What's the purpose of matrix?,Mathematics for AI,matrix,Beginner,"2D array of numbers. Represents transformations, data. Operations: addition, multiplication, transpose, inverse. Fundamental in deep learning."
Why is cherry-pick important?,Git & Version Control,cherry-pick,Intermediate,Applying specific commits to current branch. git cherry-pick <hash>. Useful for selective merging. Creates new commit.
Please tell me about CNN,Deep Learning,CNN,Intermediate,"Convolutional Neural Network for processing grid data (images). Convolutional layers extract features, pooling reduces dimensions, fully connected layers classify. Revolutionized computer vision."
